"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Model Number","DQ Score"
"HOM","HAB","351973","Korbond Cable Needles 2pk","Korbond",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"HOM","HAB","351977","Korbond Circular Knitting Needle 5.0mm","Korbond","5.0mm",NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","HAB","433278","Household Scissors 8in","Korbond",NA,NA,"1",NA,NA,NA,NA,NA,0.81
"HOM","HAB","433283","Professional Glass Headed Pins 10g","Korbond","10g",NA,"1",NA,NA,NA,NA,NA,0.88
"HOM","HAB","433299","Bra Extender White 50mm","Korbond","50mm","White","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433300","Instant Repair Tape 4.5m","Korbond","4.5m",NA,"1",NA,NA,NA,NA,NA,0.88
"HOM","HAB","433302","Elastic Black 6mm x 3m","Korbond","6mm x 3m","White","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433303","Elastic Black 6mm x 3m","Korbond","6mm x 3m","Black","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433305","Name Label Kit","Korbond",NA,NA,"1",NA,NA,NA,NA,NA,0.81
"HOM","HAB","433308","Hook and Loop Stick On White 2cm x 50cm","Korbond","2cm x 50m","White","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433309","Double Sided Lint Brush","Korbond",NA,NA,"1",NA,NA,NA,NA,NA,0.8625
"HOM","HAB","433312","White Cotton Thread 200m","Korbond","200m","White","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433313","Black Cotton Thread 200m","Korbond","200m","Black","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433314","White Transparent Thread 200m","Korbond",NA,"White","200m",NA,NA,NA,NA,NA,0.88
"HOM","HAB","433315","Black Transparent Thread 200m","Korbond",NA,"Black","200m",NA,NA,NA,NA,NA,0.88
"HOM","HAB","433316","White Shirring Elastic 20m","Korbond",NA,"White","20m",NA,NA,NA,NA,NA,0.88
"HOM","HAB","433317","Black Shirring Elastic 20m","Korbond",NA,"Black","20m",NA,NA,NA,NA,NA,0.88
"HOM","HAB","433318","White Polyester Thread 100m","Korbond","100m","White","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433319","Black Polyester Thread 100m","Korbond","100m","Black","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433320","Mustard Yellow Polyester Thread 100m","Korbond","100m","Yellow","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433321","Red Polyester Thread 100m","Korbond","100m","Red","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433322","Fuschia Pink Polyester Thread 100m","Korbond","100m","Pink","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433323","Navy Blue Polyester Thread 100m","Korbond","100m","Blue","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433324","Olive Green Polyester Thread 100m","Korbond","100m","Green","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433325","Cream Polyester Thread 100m","Korbond","100m","Cream","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433327","Brown Polyester Thread 100m","Korbond","100m","Brown","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433328","Grey Polyester Thread 100m","Korbond","100m","Grey","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433330","Purple Polyester Thread 100m","Korbond","100m","Purple","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433332","Pumpkin Orange Polyester Thread 100m","Korbond","100m","Orange","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433333","Deep Red Polyester Thread 100m","Korbond",NA,"Red","1100m",NA,NA,NA,NA,NA,0.88
"HOM","HAB","433335","Taupe Polyester Thread 100m","Korbond","100m","Brown","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433336","Midnight Blue Polyester Thread 100m","Korbond","100m","Blue","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433338","Baby Blue Polyester Thread 100m","Korbond","100m","Blue","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433339","Sapphire Blue Polyester Thread 100m","Korbond","100m","Blue","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433341","Steel Grey Polyester Thread 100m","Korbond","100m","Grey","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433342","Top Stitch Thread White 30m","Korbond","30m","White","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433343","Top Stitch Thread Taupe 30m","Korbond","30m","Brown","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433344","Top Stitch Thread Midnight Blue 30m","Korbond","30m","Blue","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433346","Top Stitch Thread Black 30m","Korbond","30m","Black","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433347","Starter Sewing Kit 9pcs","Korbond",NA,NA,"9",NA,NA,NA,NA,NA,0.81
"HOM","HAB","433350","Sewing Basket","Korbond",NA,NA,"1",NA,NA,NA,NA,NA,0.81
"HOM","HAB","433357","Crochet Hook Set 3pk","Korbond",NA,NA,"3",NA,NA,NA,NA,NA,0.775
"HOM","HAB","433358","Stitch Holder Set 3pk","Korbond",NA,NA,"3",NA,NA,NA,NA,NA,0.81
"HOM","HAB","433359","Large Eye Needles","Korbond",NA,NA,"2",NA,NA,NA,NA,NA,0.81
"HOM","HAB","433365","Hook and Loop Iron On 2cm x 50cm","Korbond",NA,NA,"2cm x 50cm",NA,NA,NA,NA,NA,0.81
"HOM","HAB","433366","Lint Roller Refills 3m 2pk","Korbond","6m",NA,"2",NA,NA,NA,NA,NA,0.95
"HOM","HAB","433367","Korbond Twin Pack Black and White 100m 2pk","Korbond","2x100m",NA,"2",NA,NA,NA,NA,NA,0.93
"HOM","HAB","83769","Korbond Hemming Web White 10m","Korbond","10m","White",NA,NA,NA,NA,NA,NA,0.93
"HOM","HAB","83780","Korbond Stitch Ripper","Korbond",NA,"Multi","1",NA,NA,NA,NA,NA,0.93
"HOM","HAB","83781","Korbond Tape Measure 150 x 60cm","Korbond","150x60cm","Multi","1",NA,NA,NA,NA,NA,1
"HOM","HAB","83786","Korbond Berry Pins Assorted 38 x 0.6mm 40pk","Korbond","38x0.6mm","Multi","40pk",NA,NA,NA,NA,NA,1
"HOM","HAB","83787","Korbond Dressmaker Pins Steel 25g","Korbond","25g","Silver",NA,NA,NA,NA,NA,NA,0.93
"HOM","HAB","83790","Korbond Safety Pins Nickel Plated Assorted 50pk","Korbond","Assorted","Silver","50pk",NA,NA,NA,NA,NA,1
"HOM","HAB","83791","Korbond Safety Pins Gilt Assorted 36pk","Korbond","Assorted","Metal","36pk",NA,NA,NA,NA,NA,1
"HOM","HAB","83795","Korbond Needles Multi Purpose Assorted 7pk","Korbond","Assorted","Silver","7pk",NA,NA,NA,NA,NA,1
"HOM","HAB","83796","Korbond Needles Crewel size 3-9 16pk","Korbond","41885","Silver","16pk",NA,NA,NA,NA,NA,1
"HOM","HAB","83797","Korbond Needles Darning 1-5 10pk","Korbond","41760","Silver","10pk",NA,NA,NA,NA,NA,1
"HOM","HAB","83798","Korbond Needles Tapestry 18-24 6pk","Korbond","18-24","Silver","6pk",NA,NA,NA,NA,NA,1
"HOM","HAB","83800","Korbond Needles Dispenser Assorted 30pk","Korbond","Assorted","Silver","30pk",NA,NA,NA,NA,NA,1
"HOM","HAB","83801","Korbond Home Needle Kit 45pk","Korbond","Assorted","Silver","45pk",NA,NA,NA,NA,NA,1
"HOM","HAB","83803","Korbond Dressmaking Scissors Comfort Grip 9in","Korbond","22.5cm","Black","2pk",NA,NA,NA,NA,NA,1
"HOM","HAB","83804","Korbond Dressmaking Scissors Comfort Grip 7in","Korbond","17.5cm","Black","1",NA,NA,NA,NA,NA,1
"HOM","HAB","83807","Korbond Elastic white 2m","Korbond","12mmx2m","White","1",NA,NA,NA,NA,NA,1
"HOM","HAB","83808","Korbond Elastic white 2m","Korbond","20mmx2m","White",NA,NA,NA,NA,NA,NA,0.93
"HOM","HAB","83817","Korbond Thread White 160m","Korbond","160m","White",NA,NA,NA,NA,NA,NA,0.93
"HOM","HAB","83818","Korbond Thread Black 160m","Korbond","160m","Black",NA,NA,NA,NA,NA,NA,0.93
"HOM","HAB","431396","Yarnfair Anti Pill Poppet Premium Acrylic YarnBright Colours 100g","Wilko","100g","Multi","1","100% Premium Acrylic",NA,NA,NA,NA,0.95
"HOM","HAB","101942","Yarnfair DK Acrylic Yarn White 100g","Yarnfair","100g","White",NA,"Acrylic",NA,NA,NA,NA,0.941666666666667
"HOM","HAB","135117","Yarnfair Baby DK Acrylic Yarn Baby Pink 100g","Yarnfair","100g","Pink",NA,"Acrylic",NA,NA,NA,NA,0.941666666666667
"HOM","HAB","135119","Yarnfair Baby DK Acrylic Baby Blue 100g","Yarnfair","100g","Blue",NA,"Acrylic",NA,NA,NA,NA,0.941666666666667
"HOM","HAB","221695","Yarnfair Baby DK Acrylic Yarn White 100g","Yarnfair","100g","White",NA,"Acrylic",NA,NA,NA,NA,0.941666666666667
"HOM","HAB","300228","Yarnfair DK  Acrylic Yarn Cream 100g","Yarnfair","100g","Cream","1","Acrylic",NA,NA,NA,NA,1
"HOM","HAB","329119","Yarnfair DK 100g 100% Acrylic Shade 070 Jade","Yarnfair","100g","Green","1","Acrylic",NA,NA,NA,NA,1
"HOM","HAB","329121","Yarnfair DK  Acrylic  Yarn Ruby Red 100g","Yarnfair","100g","Red",NA,"Acrylic",NA,NA,NA,NA,0.941666666666667
"HOM","HAB","329122","Yarnfair DK 100g 100% Acrylic Shade 070Teal","Yarnfair","100g","Green","1","Acrylic",NA,NA,NA,NA,1
"HOM","HAB","417106","Yarnfair Stripes DK  Acrylic and Wool YarnBlue/Cream50g","Yarnfair",NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOM","HAB","417107","Yarnfair Sparkle Chunky Acrylic and Metalic YarnSilver/White 100g","Yarnfair",NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOM","HAB","417110","Yarnfair Flying Colours Acrylic and Wool YarnShocking Pink/Lime/Purple 100g","Yarnfair",NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOM","HAB","417112","Yarnfair Poppet Baby DK Acrylic YarnCream/Pink/Lilac 100g","Yarnfair",NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOU","AIR","bh00001","Better Home Rotary Airer Green 30m","Better Home Products","30m","Silver","1",NA,NA,NA,NA,NA,0.95
"HOU","AIR","bh00002","Better Home Rotary Airer Silver 40m","Better Home Products","40m","Silver","1",NA,NA,NA,NA,NA,0.95
"HOU","AIR","bh00005","Better Home Rotary Airer with Hoist 60m","Better Home Products","60m","Green","1",NA,NA,NA,NA,NA,0.95
"HOU","AIR","bh00007","Better Home Gentle Grip Pegs 100pk","Better Home Products",NA,"Multi","100",NA,NA,NA,NA,NA,0.88
"HOU","AIR","bh00008","Better Home Wall Mount Airer Silver","Better Home Products","198 cm wide x 39.5cm Hiigh",NA,"1",NA,NA,NA,NA,NA,0.88
"HOU","AIR","bh00009","Better Home Heavy Duty Retractable 5 Line","Better Home Products","5x7m","Grey","1",NA,NA,NA,NA,NA,0.95
"HOU","AIR","bh00010","Better Home Heavy Duty Retractable 2 Line","Better Home Products","2 x 15m lines",NA,"1",NA,NA,NA,NA,NA,0.8625
"HOU","AIR","bh00003","Better Home Rotary Airer Silver 50m","British Ceramic Tile","50m","Silver","1",NA,NA,NA,NA,NA,0.95
"HOU","AIR","bh00004","Better Home Rotary Airer Silver 60m","British Ceramic Tile","60m","Silver","1",NA,NA,NA,NA,NA,0.95
"HOU","AIR","352090","Minky Easy Breeze 4 Arm Rotary Airer 45m","Minky","45m","Multi","1",NA,NA,NA,NA,NA,1
"HOU","AIR","453904","Status Portable Heated Clothes Airer With Wings","Status",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","AIR","107006","Wilko Deluxe Clothes Airer 14m","Wilko","14m","Multi",NA,NA,NA,NA,NA,NA,0.93
"HOU","AIR","1289640","Wilko Extendable Clothes Prop","Wilko","140-240cm","Multi","1",NA,NA,NA,NA,NA,1
"HOU","AIR","1292440","Wilko Concertina Clothes Airer 3 Tier 8.4m","Wilko","8.4m","White",NA,NA,NA,NA,NA,NA,0.93
"HOU","AIR","229129","Wilko Radiator Airer 3pk","Wilko","18x57cm","White","3pk",NA,NA,NA,NA,NA,1
"HOU","AIR","285491","Wilko Zipped Rotary Airer Cover Green 176 x 30cm","Wilko","176cm x 30cm","Multi","1",NA,NA,NA,NA,NA,1
"HOU","AIR","285513","Wilko Replacement Airer Line 60m","Wilko","60m","Green","1",NA,NA,NA,NA,NA,1
"HOU","AIR","300176","Wilko Over Door Hanger 3in1","Wilko",NA,"Purple","1",NA,NA,NA,NA,NA,0.93
"HOU","AIR","300177","Wilko Extendable Clothes Airer 3 Tier 7.5m","Wilko","14m","Silver",NA,NA,NA,NA,NA,NA,0.93
"HOU","AIR","328257","Wilko Ground Screw with Inserts Grey","Wilko","Small, Medium, Large","Multi",NA,NA,NA,NA,NA,NA,0.93
"HOU","AIR","328545","Wilko Indoor Balcony Clothes Airer 12m","Wilko","12m","Silver","1",NA,NA,NA,NA,NA,1
"HOU","AIR","400003","Ironing Tidy 6 Arms with 4 Folding Legs","Wilko","79x16x16","Multi","4",NA,NA,NA,NA,NA,0.95
"HOU","AIR","403886","MobiDri Portable Washing Line","Wilko",NA,"Black","1",NA,NA,NA,NA,NA,0.88
"HOU","AIR","432698","Wilko Rotary Airer 40m","Wilko","40m",NA,"1",NA,NA,NA,NA,NA,0.93
"HOU","AIR","432699","Wilko Rotary Airer 50m","Wilko","50m",NA,"1",NA,NA,NA,NA,NA,0.93
"HOU","AIR","432700","Wilko Rotary Airer 60m","Wilko","60m",NA,"1",NA,NA,NA,NA,NA,1
"HOU","AIR","56804","Wilko Radiator Airer White 4 Bar","Wilko","34.5x61cm","White","1",NA,NA,NA,NA,NA,1
"HOU","AIR","1285040","Wilko Rotary Airer 3 Arm 30m","Wilko Functional","30m","Multi","1",NA,NA,NA,NA,NA,0.95
"HOU","DUS","300603","Heavy Duty Dustbin Black Plastic 80L","Strata","80L","Black","1",NA,NA,NA,"80L",NA,0.95
"HOU","DUS","145240","Wilko Dustbin and Lid Black Plastic 80L","Wilko","80L","Black","1",NA,NA,NA,"80L",NA,1
"HOU","HEA","440044","Prolectrix Round 7 Fin Oil Filled Radiator 1500W","PROlectrix","33X24X54.5cm","Silver","1",NA,NA,"1500W",NA,"EH0564WILKPRO",1
"HOU","HEA","440047","Mini Oil Filled Radiator 700W","PROlectrix","33X14X38cm","Black","1",NA,NA,"700W",NA,"EH0575WILKPRO",0.95
"HOU","HEA","446729","Wilko Microwaveable Heat Pack","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,0.8
"HOU","HEA","446730","Wilko Hot Water Bottle","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,0.8
"HOU","HEA","446731","Wilko Hot Water Bottle With Cover","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,0.8
"HOU","HTV","441062","Jerome Alexander Concealer and Rollerball","High Street TV",NA,NA,NA,NA,NA,NA,NA,NA,0.716666666666667
"HOU","HTV","441064","Jerome Alexander Magic Minerals Bronzer","High Street TV",NA,NA,NA,NA,NA,NA,NA,NA,0.716666666666667
"HOU","HTV","441065","BIT 360 Screwdriver","High Street TV",NA,NA,NA,NA,NA,NA,NA,NA,0.716666666666667
"HOU","IRN","182125","JML Ironing Board Cover Fast Fit","JML","139x49cm","Multi",NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","300708","Minky Easy Fit Ironing Board Cover DesignCollection Large 122 x 43cm","Minky","122x43cm","Multi",NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","300709","Minky Smart Fit Ironing Board Cover 125 x 45cm","Minky","125x45cm","Multi",NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","328217","Wilko Felt Ironing Board Pad One Size","Minky","125x45cm","Grey",NA,NA,NA,NA,NA,NA,0.88
"HOU","IRN","332969","Minky Premium Plus Ironing Board 122 x 38cm","Minky","122x38cm","Multi","1",NA,NA,NA,NA,NA,1
"HOU","IRN","352086","Minky Smart Fit Iron Board Cover Polka Dot Design125 x 45cm","Minky",NA,"Multi","1",NA,NA,NA,NA,NA,0.93
"HOU","IRN","352087","Minky High Performance Iron Board Cover122 x 38cm","Minky",NA,"Multi","1",NA,NA,NA,NA,NA,0.93
"HOU","IRN","417473","Minky Ergo Ironing Board","Minky",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"HOU","IRN","283586","Russell Hobbs Supreme Steam Iron 2400W","Russell Hobbs","2400W","White",NA,NA,NA,"Mains",NA,"18651",1
"HOU","IRN","305175","Russell Hobbs Auto Steam Iron 2400w","Russell Hobbs","2400W","Multi",NA,NA,NA,"Mains",NA,"15081",1
"HOU","IRN","329085","Russell Hobbs Easy Store Iron 2400W","Russell Hobbs","2400W","Multi",NA,NA,NA,"Mains",NA,NA,0.891666666666667
"HOU","IRN","400014","Russell Hobbs Power Steam Ultra Iron 3100W","Russell Hobbs",NA,"Multi",NA,NA,NA,"3100w",NA,"20630",0.941666666666667
"HOU","IRN","438892","Russell Hobbs Supreme Steam Iron 232402400w","Russell Hobbs",NA,NA,NA,NA,NA,"2400w",NA,NA,0.825
"HOU","IRN","438893","Russell Hobbs Supreme Steam Ultra 232602600w","Russell Hobbs",NA,NA,NA,NA,NA,"2400w",NA,"23260",0.883333333333333
"HOU","IRN","439010","Russell Hobbs Powersteam Pro Iron 206312400w","Russell Hobbs",NA,NA,NA,NA,NA,"2400w",NA,"N20631",0.833333333333333
"HOU","IRN","409313","Laundry Basket Grey","Strata",NA,"Grey",NA,NA,NA,NA,NA,NA,0.775
"HOU","IRN","161778","Wilko Table Top Ironing Board 81 x 30cm","Wilko","81x30cm","Multi",NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","267567","Wilko Laundry Trug Salmon 40L","Wilko","40L",NA,NA,NA,NA,NA,"40L",NA,0.883333333333333
"HOU","IRN","271114","Wilko  Ironing Board Assorted Large 124 x 40cm","Wilko","124x40cm","Multi","1",NA,NA,NA,NA,NA,1
"HOU","IRN","271115","Wilko Ironing Board Assorted Medium 116 x 35.5cm","Wilko","35.5x116cm","Multi",NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","327988","Wilko Steam Iron Teal and White 2200W","Wilko","2200W","Multi",NA,NA,NA,"Mains",NA,NA,0.941666666666667
"HOU","IRN","328241","Wilko Laundry Basket Hipster Hip","Wilko",NA,"Grey",NA,NA,NA,NA,NA,NA,0.825
"HOU","IRN","329083","Wilko Travel Steam Iron Purple and Silver900W-1100W","Wilko","900W-1100W","Multi",NA,NA,NA,"Mains",NA,NA,0.941666666666667
"HOU","IRN","352074","Wilko Laundry Basket","Wilko",NA,"Purple",NA,NA,NA,NA,NA,NA,0.825
"HOU","IRN","352078","Wilko Laundry Basket Round","Wilko",NA,"Cream",NA,NA,NA,NA,NA,NA,0.825
"HOU","IRN","352089","Wilko Trug Blue 40L","Wilko","40L","Blue",NA,NA,NA,NA,"40L",NA,0.941666666666667
"HOU","IRN","414869","Wilko Hipster Laundry Basket","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOU","IRN","414871","Wilko Trug Duck Egg 40L","Wilko","40L","Green",NA,NA,NA,NA,"40L",NA,0.941666666666667
"HOU","IRN","417455","Wilko Ceramic Coated Soleplate 2400W","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOU","IRN","55047","Wilko Laundry Board Sleeve","Wilko","50x11cm","Multi",NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","189749","Wilko Functional Laundry Ironing Board Assorted Small 110 x 32cm","Wilko Functional","32x110cm","Multi",NA,NA,NA,NA,NA,NA,0.93
"HOU","IRN","327987","Wilko Steam Iron White 1200W","Wilko Functional","1200W","Multi",NA,NA,NA,"Mains",NA,NA,0.891666666666667
"HOU","JML","265268","JML Doktor Multi Purpose Cleaner","JML",NA,"White","1",NA,NA,NA,NA,NA,0.93
"HOU","JML","278007","JML Doktor Power Magic Eraser","JML","30.8x11.7x3.8cm","White","1",NA,NA,NA,NA,NA,1
"HOU","JML","347333","JML Fast Fit Sticky Rollers 2pk","JML",NA,"Multi","1",NA,NA,NA,NA,NA,0.93
"HOU","JML","351283","JML Felt Ceracraft Pan Protectors 2pk","JML","2 Pack","Black","2pk",NA,NA,NA,NA,NA,1
"HOU","JML","402301","JML Mantis Scratch Remover","JML",NA,"Green","1",NA,NA,NA,NA,NA,0.93
"HOU","JML","405447","JML Finishing Touch Elite Personal Hair Remover","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","JML","406670","JML Mineral Magic","JML",NA,"Multi","1",NA,NA,NA,NA,NA,0.93
"HOU","JML","412526","JML Dryer Balls 2pk","JML",NA,NA,"2 pk",NA,NA,NA,NA,NA,0.86
"HOU","JML","413205","JML Multi Purpose Radiator Duster","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","JML","413876","JML Purrfect Arch Cat Groomer and Massaging Toy","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","JML","419917","JML Hover Ball Floating Ball","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","JML","419919","JML Phoenix Gold Iron 2200W","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","JML","422379","JML Sensor Bright Motion Activated LED Light","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","JML","429306","JML Dish Drying Mat Assorted Colours","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","JML","433558","JML Veggetti 2.0","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","JML","437228","JML Ped Egg Power Pink","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","JML","438820","JML Wonderbroom","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","JML","440625","JML Mineral Magic Dark Shade","JML",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"HOU","JML","443306","JML Simply Straight","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","JML","446877","JML Max Lash 2 Piece Kit","JML",NA,"Black","2",NA,NA,NA,NA,NA,0.93
"HOU","JML","453440","JML Clever Cutter","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","JML","453441","JML Roto Clipper","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","JML","453442","JML Regis Copper Stone Pan 20cm","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","JML","453443","JML Regis Copper Stone Pan 24cm","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.81
"HOU","JML","453444","JML Regis Copper Stone Pan 28cm","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","JML","454871","JML True Touch Pet Grooming Glove","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.81
"HOU","JML","454872","JML Simply Straight Gold Delux Hair Straightener","JML",NA,NA,"1",NA,NA,NA,NA,NA,0.86
"HOU","MOP","328396","Addis Step Stool","Addis",NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"HOU","MOP","437058","Hertiage Cotton Mop","Charles Bentley",NA,NA,"1",NA,NA,NA,NA,NA,0.95
"HOU","MOP","437059","Heritage Housekeepers Box","Charles Bentley",NA,NA,"1",NA,NA,NA,NA,NA,0.95
"HOU","MOP","437060","Heritage Metal Mop Bucket","Charles Bentley",NA,NA,"1",NA,NA,NA,NA,NA,0.95
"HOU","MOP","437061","Heritage Hand Shovel","Charles Bentley",NA,NA,"1",NA,NA,NA,NA,NA,0.95
"HOU","MOP","437062","Heritage Handled Feather Duster","Charles Bentley",NA,NA,"1",NA,NA,NA,NA,NA,0.95
"HOU","MOP","437063","Heritage Handled Dustpan Set","Charles Bentley",NA,NA,"1",NA,NA,NA,NA,NA,0.95
"HOU","MOP","437064","Heritage Dustpan and Brush Set","Charles Bentley",NA,NA,"1",NA,NA,NA,NA,NA,0.95
"HOU","MOP","437065","Heritage Wooden Clothes Pegs","Charles Bentley",NA,NA,"24",NA,NA,NA,NA,NA,0.95
"HOU","MOP","437066","Heritage Peg Caddy","Charles Bentley",NA,NA,"1",NA,NA,NA,NA,NA,0.95
"HOU","MOP","437069","Heritage Long Handled Radiator Brush","Charles Bentley",NA,NA,"1",NA,NA,NA,NA,NA,0.95
"HOU","MOP","441963","Heritage Wooden Nail Brush","Charles Bentley",NA,NA,"1",NA,NA,NA,NA,NA,0.95
"HOU","MOP","454203","Packmate Flat Vacuum Storage Bags Medium 4pk","Pack Mate","Medium",NA,"1",NA,NA,NA,NA,NA,0.8
"HOU","MOP","454205","Packmate High Volume Vacuum Storage Bags Large 2pk","Pack Mate","50x 85x 25cm",NA,"2","Polythene, Nylon",NA,NA,NA,NA,0.85
"HOU","MOP","454208","Packmate Hanging Vacuum Storage Bag with Cover","Pack Mate","120 x 70cm",NA,"1","Polythene , Nylon Laminate",NA,NA,NA,NA,0.85
"HOU","MOP","454209","Packmate Flat Vacuum Storage Bags 4pk","Pack Mate",NA,NA,"4","Polythene, Nylon",NA,NA,NA,NA,0.8
"HOU","MOP","155999","Vileda Super Mocio 3 Action Mop Head and Handle","Vileda",NA,"Multi","1","Cellulose, Polyester, Polypropylene, Polyamide",NA,NA,NA,NA,0.941666666666667
"HOU","MOP","157423","Vileda SuperMocio 3 Action Refill","Vileda",NA,"Multi","1",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","181642","Vileda SuperMocio Bucket and Wringer Red and Black","Vileda",NA,"Multi","1",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","204922","Vileda Magic Mop Flat","Vileda",NA,"Red","1",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","204923","Vileda Magic Mop Flat Refill Blue","Vileda",NA,"Multi","1",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","265644","Vileda Supermocio Microfibre and Cotton Mop","Vileda",NA,"Multi","1",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","265645","Vileda Supermocio Mop Head Microfibre and CottonRefill","Vileda",NA,"Multi","1",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","266271","Vileda  3 Action Broom Red","Vileda",NA,"Multi","1",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","292476","Vileda Active Max Mop Refill","Vileda",NA,"Multi","1","Polyester Microfibre, Cotton",NA,NA,NA,NA,0.941666666666667
"HOU","MOP","304986","Vileda Mop Active Max System","Vileda",NA,"Multi","1","Cotton, Polyester",NA,NA,NA,NA,0.941666666666667
"HOU","MOP","304988","Vileda Mop 1.2 Spray System","Vileda",NA,"Multi","1",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","304989","Vileda Active 1.2 Spray Cleaner 750ml","Vileda","750ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"HOU","MOP","304990","Vileda Ultra Max 1.2 Replacement Mop Head","Vileda","1.2L","Multi","1",NA,NA,NA,NA,NA,0.941666666666667
"HOU","MOP","417427","Vileda Dust Pan and Brush Set Red","Vileda",NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOU","MOP","417436","Vileda Supermocio Soft Mop","Vileda",NA,NA,NA,"50% viscose, 30% PES, 20% PP (Head) Steel (Handle)",NA,NA,NA,NA,0.825
"HOU","MOP","417437","Vileda Supermocio Soft Mop Refill","Vileda",NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
