"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Age","DQ Score"
"TOI","MED","423968","Nurofen Blocked Nose and Sinus Relief Tablets16pk","Nurofen",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","430551","Nurofen Joint and Back Tablets 16pk","Nurofen","256mg",NA,"16pk",NA,NA,NA,1
"TOI","MED","430553","Nurofen Joint and Back Caps 16pk","Nurofen","200mg",NA,"16pk",NA,NA,NA,1
"TOI","MED","453076","Nurofen Joint Back Relief Max 10% 40ml","Nurofen",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","280388","Optrex Brightening Eye Drops 10ml","Optrex","10ml",NA,"1",NA,NA,NA,1
"TOI","MED","430555","Optrex Contlens Eyedrops 10ml","Optrex","10ml",NA,"1",NA,NA,NA,1
"TOI","MED","101221","Scholl Footcare Corn Cushions x9","Scholl",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","101225","Scholl Footcare Corn Removal Plasters","Scholl",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","101267","Scholl Footcare Pressure Point Foam Padding","Scholl",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","209922","Scholl Footcare Comfort Insoles 1 pair","Scholl",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","216744","Scholl Party Feet Resuable Gel Cushion 1 Pair","Scholl",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","248777","Scholl Footcare Gel Insoles 1 Pair","Scholl",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","254427","Scholl Footcare Verruca Removal System Medicated","Scholl",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","318684","Scholl Footcare Hard Skin Cream 60ml","Scholl",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","319141","Scholl Footcare Dry Skin Recovery Cream 60ml","Scholl",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","332830","Scholl Footcare Cracked Heel Repair Cream  60ml","Scholl","60ml",NA,NA,NA,NA,NA,0.9125
"TOI","MED","332834","Scholl Footcare For Dry Feet Anti-Perspirant 150ml","Scholl","150ml",NA,NA,NA,NA,NA,0.9125
"TOI","MED","342569","Scholl Verruca Removal Gel 10g","Scholl","10g",NA,"1",NA,NA,NA,1
"TOI","MED","350996","Scholl Footcare Velvet Pedi","Scholl",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","351010","Scholl Fungal Nail 3.8ml","Scholl","3.8ml",NA,"1",NA,NA,NA,1
"TOI","MED","351012","Scholl Footcare Athletes Foot Spray 150ml","Scholl","150ml",NA,"1",NA,NA,NA,1
"TOI","MED","412398","Scholl Gel Activ Everyday Women Insole","Scholl",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","412399","Scholl Gel Activ Everyday Men Insole","Scholl",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","430559","Scholl Gelactiv Flat Shoe","Scholl",NA,NA,"1pk",NA,NA,NA,0.9125
"TOI","MED","430560","Scholl Gelactiv Everyday","Scholl",NA,NA,"1pk",NA,NA,NA,0.9125
"TOI","MED","430561","Scholl Gel Activ Extreme Heel","Scholl",NA,NA,"1pk",NA,NA,NA,0.9125
"TOI","MED","430563","Scholl Nail Gadget","Scholl",NA,NA,"1pk",NA,NA,NA,0.9125
"TOI","MED","444885","Scholl Light Legs Small","Scholl",NA,NA,"2",NA,NA,NA,0.775
"TOI","MED","444887","Scholl Nail Gadget Gift Set","Scholl",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","444888","Scholl Pedicure Gadget Gift Pack","Scholl",NA,NA,"2",NA,NA,NA,0.9125
"TOI","MED","453090","Scholl Velvet Smooth Regular Coarse Pedi Refill2pk","Scholl",NA,NA,"48",NA,NA,NA,0.9125
"TOI","MED","195317","Senokot Constipation Relief Senna Tablets 20pk","Senokot",NA,NA,"20pk","No",NA,"12 Years",0.65
"TOI","MED","215873","Senokot Constipation Relief Max Strength 24pk","Senokot",NA,NA,"24pk","No",NA,"12 Years",0.65
"TOI","MED","260427","Strepsils Honey and Lemon Lozenges 16pk","Strepsils",NA,NA,"16pk",NA,NA,NA,0.9125
"TOI","MED","296553","Strepsils Honey and Lemon Lozenges 36pk","Strepsils",NA,NA,"36pk",NA,NA,NA,0.9125
"TOI","MED","297412","Strepsils Original Lozenges 16pk","Strepsils",NA,NA,"16pk",NA,NA,NA,0.9125
"TOI","MED","423972","Strepsils Extra Triple Action Blackcurrant 24pk","Strepsils",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","273788","Sweetex Sweetners 800pk","Sweetex",NA,NA,"800pk",NA,NA,NA,0.9125
