"Article","Web Description","Brand","Capacity","Type","Colour","Power","Size","Model Number","Pack Qty","Assembly","Material","DQ Score"
"342527","Wilko Coax Cable 1m","Wilko",NA,"Coaxial Cable",NA,NA,"100x1x1cm",NA,NA,NA,NA,0.825
"342529","Wilko Coax Cable 5m","Wilko",NA,"Coaxial Cable",NA,NA,"500x1x1cm",NA,NA,NA,NA,0.825
"342542","Wilko Satellite F Cable 5m","Wilko",NA,"Satellite Equipment",NA,NA,"500x1x1cm",NA,NA,NA,NA,0.825
"342544","Wilko 2 Phono To 2 Phono Cable 1.5m","Wilko",NA,"Cables",NA,NA,"150x1x1cm",NA,NA,NA,NA,0.825
"342546","Wilko 3.5mm Stereo To 2 Phono Cable 1.5m","Wilko",NA,"Cables",NA,NA,"150x1x1cm",NA,NA,NA,NA,0.825
"342547","Wilko 3 Phono To 3 Phono Cable 1.5m","Wilko",NA,"Cables",NA,NA,"150x1x1cm",NA,NA,NA,NA,0.825
"342551","Wilko Universal Optical Cable 1.5m","Wilko",NA,"Cables",NA,NA,"150x1x1cm",NA,NA,NA,NA,0.825
"342552","Wilko Hdmi Cable 1m","Wilko",NA,"HDMI Accessories",NA,NA,"100x1x1cm",NA,NA,NA,NA,0.825
"342634","Wilko Tv Aerial  Ext. Kit 15m","Wilko",NA,"TV Aerials",NA,NA,"1500x1x1cm",NA,NA,NA,NA,0.825
"342640","Wilko 4G 32 Element Digital Tv Aerial Kit","Wilko",NA,"TV Aerials",NA,NA,"60x49x80cm",NA,NA,NA,NA,0.825
"342641","Wilko 4G Flat Indoor amplified Digital Aerial","Wilko",NA,"TV Aerials",NA,NA,"16.5x20x5cm",NA,NA,NA,NA,0.825
"342647","Wilko Slimline Telephone Extension Kit 25m","Wilko",NA,"Telephone Extension Kits",NA,NA,"2500x1x1cm",NA,NA,NA,NA,0.825
"342654","Wilko Adsl Micro Filter","Wilko",NA,"Micro Filter",NA,NA,"5.5x4x2.5cm",NA,NA,NA,NA,0.825
"342661","Wilko 3.5mm Jack To Jack Cable 1m","Wilko",NA,"Telephone Extension Kits",NA,NA,"100x1x1cm",NA,NA,NA,NA,0.825
"342815","Wilko 2 Socket 5m 10amp Extension Lead","Wilko",NA,"Extension Leads",NA,NA,"10AMP",NA,NA,NA,NA,0.86
"342818","Wilko 6 Socket 2m 10amp Extension Lead","Wilko",NA,"Extension Leads",NA,NA,"10AMP",NA,NA,NA,NA,0.86
"342831","Wilko 2 Socket 5m 10amp Small Cassette Reel","Wilko",NA,"Extension Leads",NA,NA,"10AMP x 5m",NA,NA,NA,NA,0.86
"342832","Wilko 2 Socket 10M 10amp Cassette Reel","Wilko",NA,"Extension Leads",NA,NA,"10AMP",NA,NA,NA,NA,0.86
"342833","Wilko 2 Socket 10amp Cable Reel 15m","Wilko",NA,"Extension Leads",NA,NA,"10AMP x 15m",NA,NA,NA,NA,0.86
"342834","Wilko 4 Socket 13amp Case Reel 20m","Wilko",NA,"Extension Leads",NA,NA,"13AMP x 20m",NA,NA,NA,NA,0.86
"342879","Wilko Non Contact Voltage Tester","Wilko",NA,"Mains Testers",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"342892","Wilko Cable Ties  Black 100mm 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,"100mm",NA,NA,NA,NA,0.825
"342894","Wilko Cable Ties Black 200mm 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,"200mm",NA,NA,NA,NA,0.825
"342895","Wilko Cable Ties White 295mm 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,"295mm",NA,NA,NA,NA,0.825
"342896","Wilko Cable Ties  Black 295mM 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,"295mm",NA,NA,NA,NA,0.825
"342897","Wilko Rel Cab Ties White  295mm 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,"295mm",NA,NA,NA,NA,0.825
"342898","Wilko Cable Ties Black 295mm 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,"295mm",NA,NA,NA,NA,0.825
"342902","Wilko Cable Clip 10mm Grey 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,"10mm",NA,NA,NA,NA,0.825
"342909","Wilko Round Cable Clip White 6mm 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,"6mm",NA,NA,NA,NA,0.825
"342910","Wilko Round Cable Clip Black 6mm 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,"6mm",NA,NA,NA,NA,0.825
"342913","Wilko Round Cable Clip White 8mm 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,"8mm",NA,NA,NA,NA,0.825
"342914","Wilko Round Cable Clip White 9mm 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,"9mm",NA,NA,NA,NA,0.825
"342952","Wilko Waterproof Box 4 Socket Extension Lead8m Black","Wilko",NA,"Weather Proof Box",NA,NA,"8m",NA,NA,NA,NA,0.825
"342954","Wilko White Plastic 1G 2 Way Switch","Wilko",NA,"Light Switches",NA,NA,NA,NA,"1",NA,NA,0.825
"342955","Wilko White Plastic 2G 2 Way Switch","Wilko",NA,"Light Switches",NA,NA,NA,NA,"1",NA,NA,0.825
"342956","Wilko White Plastic 1G 13amp Switch Socket","Wilko",NA,"Power Sockets",NA,NA,"13AMP",NA,"1",NA,NA,0.883333333333333
"342957","Wilko White Plastic 2G 13amp Switched Socket","Wilko",NA,"Power Sockets",NA,NA,"13AMP",NA,NA,NA,NA,0.825
"342959","Wilko Switched Fused Socket","Wilko",NA,"Power Sockets",NA,NA,NA,NA,"1",NA,NA,0.825
"342961","Wilko White Plastic 1G Dimmer","Wilko",NA,"Dimmer Switches",NA,NA,NA,NA,"1",NA,NA,0.825
"342962","Wilko White Plastic 2G Dimmer","Wilko",NA,"Dimmer Switches",NA,NA,NA,NA,"1",NA,NA,0.825
"342963","Wilko Single 2 Way Switch Brushed Stainless Steel","Wilko",NA,"Light Switches",NA,NA,NA,NA,"1",NA,NA,0.825
"342964","Wilko Twin 2 Way Switch Brushed Stainless Steel","Wilko",NA,"Light Switches",NA,NA,NA,NA,"1",NA,NA,0.825
"342965","Wilko Single 13amp Switch Socket Stainless Steel","Wilko",NA,"Power Sockets",NA,NA,"13AMP",NA,NA,NA,NA,0.825
"342966","Wilko Twin 13Amp Switch Socket Stainless Steel","Wilko",NA,"Power Sockets",NA,NA,NA,NA,"1",NA,NA,0.825
"342984","Wilko Single 400W Dimmer Steel","Wilko",NA,"Dimmer Switches",NA,NA,"400w",NA,"1",NA,NA,0.883333333333333
"342985","Wilko Twin 400W Dimmer Steel","Wilko",NA,"Dimmer Switches",NA,NA,"400w",NA,"1",NA,NA,0.883333333333333
"342986","Wilko Single 2 Way Switch Chrome","Wilko",NA,"Light Switches",NA,NA,NA,NA,"1",NA,NA,0.825
"342987","Wilko Twin 2 Way Switch Chrome","Wilko",NA,"Light Switches",NA,NA,NA,NA,"1",NA,NA,0.825
"342988","Wilko Single Switch Socket 13amp Chrome","Wilko",NA,"Power Sockets",NA,NA,"13AMP",NA,"1",NA,NA,0.883333333333333
"342989","Wilko Twin Switch Socket 13amp Chrome","Wilko",NA,"Power Sockets",NA,NA,"13AMP",NA,NA,NA,NA,0.825
"342990","Wilko Single 400W Dimmer Chrome","Wilko",NA,"Dimmer Switches",NA,NA,"400w",NA,NA,NA,NA,0.825
"342991","Wilko Twin 400W Dimmer Chrome","Wilko",NA,"Dimmer Switches",NA,NA,"400w",NA,"1",NA,NA,0.883333333333333
"342992","Wilko Single Switch Black Nickel 2 Way","Wilko",NA,"Light Switches",NA,NA,NA,NA,"1",NA,NA,0.825
"342993","Wilko Twin Switch Black Nickel 2 Way","Wilko",NA,"Light Switches",NA,NA,NA,NA,"1",NA,NA,0.825
"342994","Wilko Single Switch Socket Black Nickel 13amp","Wilko",NA,"Power Sockets",NA,NA,"13AMP",NA,NA,NA,NA,0.825
"342995","Wilko Twin Switch Socket Black Nickel 13amp","Wilko",NA,"Power Sockets",NA,NA,"13AMP",NA,"1",NA,NA,0.883333333333333
"342996","Wilko Single 400W Dimmer Black Nickel","Wilko",NA,"Dimmer Switches",NA,NA,"400w",NA,NA,NA,NA,0.825
"342997","Wilko Twin 400W Dimmer Black Nickel","Wilko",NA,"Dimmer Switches",NA,NA,"400w",NA,NA,NA,NA,0.825
"343003","Wilko Round Cable Clip Black 9mm 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,"9mm",NA,NA,NA,NA,0.825
"343004","Wilko Coaxial Cable Clip White 7mm 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"343010","Wilko Flat Cable Clip  0.75mm White 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,"0.75mm",NA,NA,NA,NA,0.825
"343011","Wilko Shotgun Cable Clip Black 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"343014","Wilko White Tie Mounts 25 x 25mm 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,"25mmx25mm",NA,NA,NA,NA,0.825
"343015","Wilko Black Tie Mounts 25 x 25mm 20pk","Wilko",NA,"Cable Ties and Clips",NA,NA,"25mmx25mm",NA,NA,NA,NA,0.825
"343020","Wilko Spiral Cable Tidy 1.5m","Wilko",NA,"Cable Tidys and Trunking",NA,NA,"1.5m",NA,NA,NA,NA,0.825
"343021","Wilko Brass Lampholder","Wilko",NA,"Lamp Holder",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"343022","Wilko Nickel Effect Lampholder","Wilko",NA,"Lamp Holder",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"343023","Wilko Foot Switch 2amp","Wilko",NA,"Light Switches",NA,NA,"2AMP",NA,NA,NA,NA,0.825
"343058","Wilko 3in1 Split USB Adaptor","Wilko",NA,"USB Adaptor",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"343062","Wilko 4 Way Plug  Adapter","Wilko",NA,"Socket Converter",NA,NA,NA,NA,NA,NA,NA,0.79
"343066","Wilko Remote Control  Wall Plugs","Wilko",NA,"Power Sockets","White",NA,NA,NA,"1",NA,NA,0.883333333333333
"343074","Wilko Cable H Frame","Wilko",NA,"Cable Holder",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"343076","Wilko Mechanical Segment Timer","Wilko",NA,"Timers",NA,NA,NA,NA,NA,NA,NA,0.79
"343567","Wilko Garden Extension Lead 2 Sockets 15m","Wilko",NA,"Garden Extension Leads",NA,NA,"15m",NA,NA,NA,NA,0.86
"343675","Wilko Short Skirt For Lampholder T2","Wilko",NA,"Lamp Holder",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"344166","Wilko Single Safety Plug Cover","Wilko",NA,"Plates, Covers and Screws","White",NA,NA,NA,"50",NA,"Plastic",0.941666666666667
"344915","Wilko 3 amp terminal connector strip 12Way","Wilko",NA,"Terminal Blocks",NA,NA,"3AMP",NA,NA,NA,NA,0.825
"405782","LED Push Lights Silver 2pk","Wilko",NA,"Push Lights",NA,NA,NA,NA,"2 Pack",NA,NA,0.75
"406641","Wilko Rice Cooker 1.8L","Wilko",NA,"Rice Cooker",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"412203","Wilko 10amp Fuses 4pk","Wilko",NA,"Fuses",NA,NA,NA,"FUSE10",NA,NA,NA,0.825
"414221","Wilko Health Grill","Wilko",NA,"Grills",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"414227","Wilko Blend and Go Blender","Wilko","600ml","Blenders",NA,"220-240V 50Hz 300W",NA,"BL9316A-GS",NA,NA,NA,0.9
"414305","Wilko Colourplay Microwave Cream 20L","Wilko",NA,"Microwaves",NA,"800W","20L","20UX79LC",NA,NA,NA,0.941666666666667
"418911","Wilko Colourplay Kettle Black","Wilko",NA,"Jug Kettles",NA,"3KW",NA,NA,NA,NA,NA,0.825
"418912","Wilko Colourplay Kettle Red","Wilko",NA,"Jug Kettles",NA,"3KW",NA,NA,NA,NA,NA,0.825
"418913","Wilko Colourplay Kettle Purple","Wilko",NA,"Jug Kettles",NA,"3KW",NA,NA,NA,NA,NA,0.825
"420158","Wilko Sensor Light and Torch","Wilko",NA,"Safety Lights",NA,NA,NA,NA,"1",NA,NA,0.8
"42772","Wilko Circuit Breaker White","Wilko",NA,"Circuit Breaker",NA,NA,NA,"CB004",NA,NA,NA,0.86
"42842","Wilko Blanking Plate Single White","Wilko",NA,"Plates, Covers and Screws","White",NA,"Single",NA,NA,NA,NA,0.883333333333333
"42843","Wilko Blanking Plate Twin White","Wilko",NA,"Plates, Covers and Screws","White",NA,"Twin",NA,NA,NA,NA,0.883333333333333
"434822","Wilko Power Blender Plus 1000W","Wilko",NA,"Blenders",NA,NA,NA,NA,NA,NA,NA,0.75
"434826","Wilko Panini Maker","Wilko",NA,"Grills",NA,"900, 1080W",NA,"S-6155",NA,NA,NA,0.883333333333333
"435727","Wilko Multicooker","Wilko",NA,"Multi Cooker",NA,"900w",NA,"MPR50108A",NA,NA,NA,0.883333333333333
"435827","Wilko Double Electric Hob","Wilko",NA,"Electric Hobs",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"440932","Wilko TV Bracket  13 - 23in Flat","Wilko",NA,"Television Wall Mount","Black",NA,"11.5 x 11.5 x 1.3cm","LEF100-RO",NA,NA,NA,0.941666666666667
"440933","Wilko TV Bracket 13 - 23in Multi","Wilko",NA,"Television Wall Mount","Black",NA,"17.5 x 12 x 34.1cm","LETA100-RO",NA,NA,NA,0.941666666666667
"440936","Wilko TV Bracket 23 - 50in Flat","Wilko",NA,"Television Wall Mount","Black",NA,"23 x 23 x 34.1cm","LETA200-RO",NA,NA,NA,0.941666666666667
"440938","Wilko TV Bracket  23 - 50in Multi","Wilko",NA,"Television Wall Mount","Black",NA,"23 x 23 x 1.3cm","LEF200-RO",NA,NA,NA,0.941666666666667
"440942","Wilko TV Bracket 32 - 70in Variable","Wilko",NA,"Television Wall Mount","Black",NA,"50 x 6.5 x 42cm","LPSRVT400-RO",NA,NA,NA,0.941666666666667
"440943","Wilko TV Bracket 32 - 70in Multi","Wilko",NA,"Television Wall Mount","Black",NA,"47 x 43 x 52.9cm","LERTA400-RO",NA,NA,NA,0.941666666666667
"441027","Wilko LED Spotlight and Lantern","Wilko",NA,"Torches","Red",NA,"17 x 9.5 x 14 cm",NA,"1",NA,NA,0.9
"441028","Wilko Head Torch COB LED","Wilko",NA,NA,"Black",NA,"7 x 4.8 x 3.5 cm",NA,"1",NA,NA,0.85
"441030","Wilko LED Sensor Light Plug In","Wilko",NA,NA,NA,NA,"9.5 x 6 x 6 cm",NA,"1",NA,NA,0.8
"441031","Wilko Push Light 3 SMD","Wilko",NA,NA,NA,NA,"7.5 x 7.5 x 2.5 cm",NA,"1",NA,NA,0.8
"441032","Wilko PIR Sensor Light 3 SMD","Wilko",NA,NA,NA,NA,"9.4 x 9.4 x 2.9 cm",NA,"1",NA,NA,0.8
"441047","Wilko Micro Torch 3 LED","Wilko",NA,"Torch","Silver",NA,"2.7 x 2.7 x 5.5 cm",NA,"1",NA,NA,0.9
"441076","Wilko Pocket Torch 6 SMD","Wilko",NA,NA,"Black",NA,"2.7 x 2.7 x 16 cm",NA,"1",NA,NA,0.85
"441077","Wilko Chip on Board Work Light","Wilko",NA,NA,"Yellow",NA,"5.5 x 2.5 x 21 cm",NA,"1",NA,NA,0.85
"442279","Wilko Euro Round Pin Travel Adaptor","Wilko",NA,"Travel Adaptor","White",NA,NA,NA,NA,NA,NA,0.825
"442280","Wilko Flat Pin Travel Adaptor Australia","Wilko",NA,"Travel Adaptor","White",NA,NA,NA,NA,NA,NA,0.825
"442281","Wilko Flat Pin Travel Adaptor USA","Wilko",NA,"Travel Adaptor","White",NA,NA,NA,NA,NA,NA,0.825
"452991","Wilko Hand Blender Set Stainless SteelRibbed Design","Wilko",NA,"Blenders","Silver","600W","600W","HB952SSH-RIBBED",NA,NA,NA,0.95
"452992","Wilko Hand Mixer Set Ribbed Silver Design","Wilko",NA,"Mixers","Silver","350W","350W","HM733S-1-ribbed",NA,NA,NA,0.95
"452993","Wilko Table Blender Set Stainless Steel RibbedDesign","Wilko","1.5L","Blenders",NA,"500W","500W","UM1036S-RIBBED",NA,NA,NA,0.95
"454321","Wilko HDMI Cable 2m","Wilko",NA,"HDMI Cable","Black",NA,"2m",NA,NA,NA,NA,0.883333333333333
"454322","Wilko HDMI Cable 5m","Wilko",NA,"HDMI Cable","Black",NA,"5m",NA,NA,NA,NA,0.883333333333333
"454323","Wilko HDMI Cable with Mini / Micro HDMI Adaptor 1m","Wilko",NA,"HDMI Adaptor","Black",NA,"1m",NA,NA,NA,NA,0.883333333333333
"454324","Wilko Satellite F Cable 2m","Wilko",NA,"F Cable","White",NA,"2m",NA,NA,NA,NA,0.883333333333333
"454326","Wilko Coax Cable 2m","Wilko",NA,"Coax Cable","White",NA,"2m",NA,NA,NA,NA,0.883333333333333
"454328","Wilko Scart Cable 2m","Wilko",NA,"Scart Cable","Black",NA,"2m",NA,NA,NA,NA,0.883333333333333
"454329","Wilko 3.5mm Jack To Jack Cable 3m","Wilko",NA,"AUX Cable","Black",NA,"3m",NA,NA,NA,NA,0.883333333333333
"454331","Wilko 3.5mm Jack Extension Cable 3m","Wilko",NA,"Socket","Black",NA,"3m",NA,NA,NA,NA,0.883333333333333
"454335","Wilko Satellite F Cable 1m","Wilko",NA,"F Cable","White",NA,"1m",NA,NA,NA,NA,0.883333333333333
"454340","Wilko VGA Cable 1.8m","Wilko",NA,"VGA Cable","Black",NA,"1.8m",NA,NA,NA,NA,0.883333333333333
"454341","Wilko Cat5e Network Cable 3m","Wilko",NA,"Network Cable","Black",NA,"3m",NA,NA,NA,NA,0.883333333333333
"454342","Wilko Cat5e Network Cable 5m","Wilko",NA,"Network Cable","Black",NA,"5m",NA,NA,NA,NA,0.883333333333333
"454349","Wilko Fax Modem Cable 1.8m","Wilko",NA,"Fax Cable","White",NA,"1.8m",NA,NA,NA,NA,0.883333333333333
"454350","Wilko ADSL Modem Cable 3m","Wilko",NA,"Modem Cable","Black",NA,"3m",NA,NA,NA,NA,0.883333333333333
"454351","Wilko 2G Brushed Faceplate","Wilko",NA,"Faceplate","White",NA,"2 x 9 x 14.5cm",NA,NA,NA,NA,0.883333333333333
"454355","Wilko 1 Way TV Signal Booster","Wilko",NA,"Amplifier","Blue",NA,"2.5 x 8 x 8cm",NA,NA,NA,NA,0.883333333333333
"454356","Wilko 4 Way TV Signal Booster","Wilko",NA,"Amplifier","Blue",NA,"2.5 x 8 x 8cm",NA,NA,NA,NA,0.883333333333333
"454357","Wilko Unamplified Indoor Loop Aerial","Wilko",NA,"Aerial","Black",NA,"18 x 17 x 12cm",NA,NA,NA,NA,0.883333333333333
"454625","Wilko Security Timer","Wilko",NA,"Timer","White",NA,"10 x 6 x 6.4 cm",NA,NA,NA,NA,0.883333333333333
"454626","Wilko Colour Change Plug Through Night Light","Wilko",NA,"Night Light","White",NA,"9 x 7.6 x 4.1 cm",NA,NA,NA,NA,0.883333333333333
"454627","Wilko Magnetic Torch","Wilko",NA,"Torch","Multi",NA,NA,NA,"1",NA,NA,0.85
"454628","Wilko USB Rechargeable Torch","Wilko",NA,"Torch","Multi",NA,"1 x 3.7V",NA,"1",NA,NA,0.9
"454629","Wilko COB LED Aluminium Torch","Wilko",NA,"Torch","Metal",NA,"3 x AAA",NA,"1",NA,NA,0.9
"454630","Wilko LED Aluminium Torch","Wilko",NA,"Torch","Metal",NA,"3 x AAA",NA,"1",NA,NA,0.9
"454631","Wilko LED Armoured Torch 3W CREE","Wilko",NA,"Torch","Black","Batteries not included","2 x AA",NA,"1",NA,NA,0.95
"454632","Wilko LED Aluminium Torch 5W CREE","Wilko",NA,"Torch","Black","Batteries not included","3 x C",NA,"1",NA,NA,0.95
"454633","Wilko LED Telescopic Torch","Wilko",NA,"Pick Up Tool","Multi",NA,"4 x LR44",NA,NA,NA,NA,0.883333333333333
"454634","Wilko COB LED Multilight","Wilko",NA,"COB Light","Black",NA,"3 x AAA",NA,NA,NA,NA,0.883333333333333
"454636","Wilko LED Magnifying Glass","Wilko",NA,"Magnifying Glass","Black","Batteries not included","2 x AAA",NA,NA,NA,NA,0.941666666666667
"454637","Wilko Quick Release Keyring Torch","Wilko",NA,"Torch","Black",NA,"2 x CR2032",NA,"1",NA,NA,0.9
"454638","Wilko LED Bobble Light","Wilko",NA,"Touch Light","Silver",NA,"2 x CR2032",NA,NA,NA,NA,0.883333333333333
"455030","Wilko Extension Lead 1 Socket 8m","Wilko",NA,"Extension Lead",NA,NA,"8m",NA,NA,NA,NA,0.86
"455036","Wilko Tower Basic 10 Socket","Wilko",NA,"Extension Tower",NA,NA,NA,NA,"1",NA,"Plastic, Metal",0.883333333333333
"455037","Wilko Extension Lead with USB 4 Gang White","Wilko",NA,"Extension Lead",NA,NA,"2m",NA,NA,NA,NA,0.86
"455038","Wilko Extension Lead with USB 6 Gang White","Wilko",NA,"Extension Lead",NA,NA,"2m",NA,NA,NA,NA,0.86
"455041","Wilko Tower 10 Socket USB Surge","Wilko",NA,"Extension Tower",NA,NA,NA,NA,NA,NA,NA,0.79
"455043","Wilko Surge Adaptor With USB","Wilko",NA,"Surge Adaptor",NA,NA,NA,NA,"1",NA,"Plastic, Metal",0.883333333333333
"51992","Wilko Terminal Block 12 Way 30amp","Wilko",NA,"Terminal Blocks",NA,NA,"30AMP",NA,NA,NA,NA,0.825
"52331","Wilko Clip-On Light Mini 2m","Wilko",NA,"Clip On Light","White",NA,"2m",NA,NA,NA,NA,0.883333333333333
"5313578","Wilko Light Switch Plates 2pk","Wilko",NA,"Plates, Covers and Screws",NA,NA,NA,NA,"2",NA,NA,0.825
"5314440","Wilko Socket Box Steel 1gang","Wilko",NA,"Socket Boxes",NA,NA,"35mm",NA,"1",NA,NA,0.883333333333333
"5317740","Wilko Through Switch 2/6amp","Wilko",NA,"Light Switches",NA,NA,NA,NA,"1",NA,NA,0.825
"5318740","Wilko Ceiling Switch Double Pole","Wilko",NA,"Pendant Sets and Cords",NA,NA,NA,NA,"1",NA,NA,0.825
"5320040","Wilko Fused Connection Unit 13amp","Wilko",NA,"Power Sockets",NA,NA,"13AMP",NA,"1",NA,NA,0.883333333333333
"5325040","Wilko Socket Box Steel Light Switch","Wilko",NA,"Socket Boxes",NA,NA,"7x7cm, 16mm",NA,"1",NA,NA,0.883333333333333
"5325140","Wilko Socket Box Metal 1 Gang 25mm","Wilko",NA,"Socket Boxes",NA,NA,"7x7cm, 25mm",NA,"1",NA,NA,0.883333333333333
"5325143","Wilko Socket Box Metal 2 Gang 25mm","Wilko",NA,"Socket Boxes",NA,NA,"7x13cm, 25mm",NA,"1",NA,NA,0.883333333333333
"5329242","Wilko Switch plate screws 30mm","Wilko",NA,"Plates, Covers and Screws",NA,NA,"30mm",NA,"1",NA,NA,0.883333333333333
"5329245","Wilko Screws Socket Box 50mm","Wilko",NA,"Plates, Covers and Screws",NA,NA,"50mm",NA,"1",NA,NA,0.883333333333333
"5329940","Wilko Lamp Holder Batten Angled","Wilko",NA,"Lamp Holder","White","Mains",NA,NA,NA,NA,NA,0.883333333333333
"5330340","Wilko T2 Lampholder Batten Straight","Wilko",NA,"Lamp Holder","White",NA,NA,NA,NA,NA,NA,0.825
"5330678","Wilko Lampholder Cord Grip T2","Wilko",NA,"Lamp Holder",NA,"Mains",NA,NA,NA,NA,NA,0.825
"5334740","Wilko Ceiling Switch Cord and Knob 1.5m","Wilko",NA,"Pull Cord","White",NA,NA,NA,NA,NA,NA,0.825
"5337578","Wilko Plug Fitted with Rated Fuse 13amp","Wilko",NA,"Plugs and Holders","White",NA,"13AMP",NA,NA,NA,NA,0.883333333333333
"5349240","Wilko Fuses 3amp 4pk","Wilko",NA,"Fuse Wire and Insulation Tape",NA,NA,"3AMP",NA,NA,NA,NA,0.825
"5349340","Wilko Fuses 5amp 4pk","Wilko",NA,"Fuse Wire and Insulation Tape",NA,NA,"5AMP",NA,NA,NA,NA,0.825
"5349440","Wilko Fuses 13amp 4pk","Wilko",NA,"Fuse Wire and Insulation Tape",NA,NA,"13AMP",NA,NA,NA,NA,0.825
"5352740","Wilko Flex Connector 3 Core","Wilko",NA,"Flex Connector",NA,"Mains","13AMP",NA,NA,NA,NA,0.883333333333333
"5356140","Wilko Terminal Block 12 Way 15amp","Wilko",NA,"Terminal Blocks",NA,"Mains","15AMP",NA,NA,NA,NA,0.883333333333333
"5356241","Wilko Terminal Block 12 Way 5amp","Wilko",NA,"Terminal Blocks",NA,"Mains","5AMP",NA,NA,NA,NA,0.883333333333333
"5356540","Wilko Rubber Trailing Socket 13amp 1 Way","Wilko",NA,"Trailing Sockets","White",NA,"1way",NA,NA,NA,NA,0.93
"5357240","Wilko Extension Lead 2 way","Wilko",NA,"Extension Leads","White",NA,"13a, 6.5x16.5cm",NA,NA,NA,NA,0.93
"5359940","Wilko Junction Box Round 20amp","Wilko",NA,"Junction Boxes","White",NA,"20AMP",NA,NA,NA,NA,0.883333333333333
"5360240","Wilko Junction Box Round 30amp","Wilko",NA,"Junction Boxes","White",NA,"30AMP",NA,NA,NA,NA,0.883333333333333
"5362540","Wilko Multisocket 13amp 2way","Wilko",NA,"Multi Sockets","White",NA,"13AMP",NA,NA,NA,NA,0.93
"5363040","Wilko Multisocket 13amp 3way","Wilko",NA,"Multi Sockets","White",NA,"13AMP",NA,NA,NA,NA,0.93
"5363940","Wilko Shaver Adaptor Fused 1amp","Wilko",NA,"Shaver Adaptor","White",NA,"1AMP",NA,NA,NA,NA,0.883333333333333
"5365440","Wilko Lamp Holder 1/2in Push Bar","Wilko",NA,"Lamp Holder",NA,NA,".5in",NA,NA,NA,NA,0.825
"5374340","Wilko Socket Box Steel 2 Gang","Wilko",NA,"Socket Boxes",NA,NA,"7x13cm, 35mm",NA,"1",NA,NA,0.883333333333333
"5376240","Wilko PVC Insulation Tape Assorted 19mm x 4.5m","Wilko",NA,"Electrical Tape",NA,NA,"4.5mx19mm",NA,NA,NA,NA,0.825
"5376340","Wilko PVC Insulation Tape Assorted 19mm x 20m","Wilko",NA,"Electrical Tape",NA,NA,"20mx19mm",NA,NA,NA,NA,0.825
"5376648","Wilko Earth Sleeving Green and Yellow 1m","Wilko",NA,"Earth Sleeving",NA,NA,"1m",NA,NA,NA,NA,0.825
"5379640","Corelectrics Mains Tester 125mm","Wilko",NA,"Mains Testers",NA,NA,NA,NA,NA,NA,NA,0.716666666666667
"5380445","Wilko Mini Trunking White 2m x 25mm x 16mm","Wilko",NA,"Cable Tidys and Trunking",NA,NA,"2m",NA,NA,NA,NA,0.825
"60677","Wilko 3 Pin Plug 13amp White","Wilko",NA,"Plugs and Holders","White",NA,"13AMP",NA,NA,NA,NA,0.883333333333333
"228906","Wilko Functional Hand Blender 2 Speed","Wilko Functional",NA,"Blenders","White","Mains","175w-200w",NA,NA,NA,NA,0.9
"228910","Everday Value Hand Mixer White","Wilko Functional",NA,"Mixers","White","Mains",NA,NA,NA,NA,NA,0.8
"316165","Wilko Functional Slow Cooker 1.5L","Wilko Functional",NA,"Slow Cookers","White",NA,"1.5L",NA,NA,NA,NA,0.883333333333333
"316169","Wilko Functional Cordless Kettle White 1.7L","Wilko Functional",NA,"Jug Kettles","White",NA,"1.7L",NA,NA,NA,NA,0.883333333333333
"316232","Wilko Functional 2 Slice Toaster White","Wilko Functional",NA,"Toasters","White",NA,"2 Slice",NA,NA,NA,NA,0.883333333333333
