"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","Assembly","DQ Score"
"456445","Wilko Soft Velvet Effect Cushion Duck EggBlue 30 x 50cm","Wilko","Cushions",NA,"1","Wash at 30","30X50CM","100 % polyester cover",NA,0.95
"456446","Wilko Matt Quilted Throw Duck Egg Blue 200 x 200cm","Wilko","Throws",NA,"1","Wash at 30","200X200CM","100 % polyester , wadding 100 % cotton",NA,0.95
"456447","Wilko Soft Velvet Effect Cushion Pink 30 x 50cm","Wilko","Cushions",NA,"1","Wash at 30","30X50CM","100 % polyester cover",NA,0.95
"456448","Wilko Soft Velvet Effect Throw Pink 145 x 200cm","Wilko","Throws",NA,"1","Wash at 30","145X200CM","100 % polyester",NA,0.95
"456449","Wilko Matt Quilted Throw Taupe 200 x 200cm","Wilko","Throws",NA,"1","Wash at 30","200X200CM","100 % polyester , wadding 100 % cotton",NA,0.95
"456450","Wilko Matt Quilted Throw Silver 200 x 200cm","Wilko","Throws",NA,"1","Wash at 30","200X200CM","100 % polyester , wadding 100 % cotton",NA,0.95
"456451","Wilko Moveable Sequin Cushion Silver 30 x 50cm","Wilko","Cushions",NA,"1","Dry Clean Only","30X50CM","100 % polyester with sequin embellishment",NA,0.95
"456452","Wilko Soft Velvet Effect CushionCream 30 x 50cm","Wilko","Cushions",NA,"1","Wash at 30","30X50CM","100 % polyester cover",NA,0.95
"456453","Wilko Soft Velvet Effect ThrowCream 145 x 200cm","Wilko","Throws",NA,"1","Wash at 30","145X200CM","100 % polyester",NA,0.95
"456454","Wilko Moveable Sequin Cushion Gold 30 x 50cm","Wilko","Cushions",NA,"1","Dry Clean Only","30X50CM","100 % polyester with sequin embellishment",NA,0.95
"456455","Wilko Supersoft Throw Duck Egg Blue 200 x 200cm","Wilko","Throws",NA,"1","Wash at 40","200X200CM","100 % polyester",NA,0.95
"456456","Wilko Supersoft Throw Soft Pink 200 x 200cm","Wilko","Throws",NA,"1","Wash at 40","200X200CM","100 % polyester",NA,0.95
"456457","Wilko Black Waffle Throw 200 x 240cm","Wilko","Throws",NA,"1","Wash at 40","200X240CM","100 % polyester",NA,0.95
"456459","Wilko Chenille Throw Navy Blue 125 x 150cm","Wilko","Throws",NA,"1","Wash at 30","125 x 150cm","100% Polyester",NA,0.95
"456460","Wilko Chenille Throw Grey 125 x 150cm","Wilko","Throws",NA,"1","Wash at 30","120X150CM","100% Polyester",NA,0.95
"456461","Wilko Crushed Velvet Effect CushionBlack 30 x 50cm","Wilko","Cushions",NA,"1","Wash at 30","30X50CM","100% Polyester",NA,0.95
"456462","Wilko Crushed Velvet Effect CushionSilver 30 x 50cm","Wilko","Cushions",NA,"1","Wash at 30","30X50CM","100% Polyester",NA,0.95
"456463","Wilko Crushed Velvet Effect CushionGold 30 x 50cm","Wilko","Cushions",NA,"1","Wash at 30","30X50CM","100% Polyester",NA,0.95
"456464","Wilko Crushed Velvet Effect ThrowSilver 150 x 200cm","Wilko","Throws",NA,"1","Wash at 30","150X200CM","100% Polyester",NA,0.95
"456465","Wilko Faux Fur Throw Cream 150 x 200cm","Wilko","Throws",NA,"1","Wash at 30","150X200CM","100% Polyester",NA,0.95
"322787","Wilko Best Duvet Set King Sateen Stripe White","Wilko Best","King Size Duvet Cover",NA,NA,"Washable","Kingsize","100% Cotton",NA,0.9
"322788","Wilko Best Duvet Set Super King Size White Stripe","Wilko Best","Superking Size Duvet Cover",NA,NA,"Washable","Super Kingsize","100% Cotton",NA,0.9
"326837","Wilko Best Stripe Duvet Set Super King SateenCream Stripe","Wilko Best","Superking Size Duvet Cover","Cream",NA,"Washable","Super Kingsize","100% Cotton",NA,0.95
"326838","Wilko Best Duvet Set King Sateen Stripe Cream","Wilko Best","King Size Duvet Cover","Cream",NA,"Washable","Kingsize","100% Cotton",NA,0.95
"426891","Wilko Best Duvet Set Single Sateen Stripe White","Wilko Best","Single Duvet Cover",NA,"1","Wash at 40","135x200 cm","Cotton",NA,0.95
"426892","Wilko Best Duvet Set Single Sateen Stripe Cream","Wilko Best","Single Duvet Cover",NA,"1","Wash at 40","135x200 cm","Cotton",NA,0.95
"426766","Wilko Chenille Throw Teal 125 x 150cm","Wilko Functional","Throws",NA,"1",NA,"125 x 150cm",NA,NA,0.8
"426771","Wilko Chenille Throw Cream 125 x 150cm","Wilko Functional","Throws","Cream","1",NA,"125 x 150cm",NA,NA,0.85
"426819","Wilko Chenille Throw Taupe 125 x 150cm","Wilko Functional","Throws",NA,"1",NA,"125 x 150cm",NA,NA,0.8
"426824","Wilko Chenille Throw Black 125 x 150cm","Wilko Functional","Throws",NA,"1",NA,"125 x 150cm",NA,NA,0.8
"426873","Wilko Chenille Throw Chocolate 125 x 150cm","Wilko Functional","Throws",NA,"1",NA,"125 x 150cm",NA,NA,0.8
"426878","Wilko Chenille Throw Red 125 x 150cm","Wilko Functional","Throws",NA,"1",NA,"125 x 150cm",NA,NA,0.8
"428256","Wilko Teddy Throw Mink and Latte 200 x 200cm","Wilko Functional","Throws",NA,"1",NA,"200 x 200cm",NA,NA,0.8
"428257","Wilko Teddy Throw Black 200 x 200cm","Wilko Functional","Throws",NA,"1",NA,"200 x 200cm",NA,NA,0.8
