"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","Age","Material","Model Number","Capacity","Washable","Assembly","DQ Score"
"DIY","CYC","120316","Wilko Inner Tube 27in 1 and 1/4in Presta Valve","Wilko","Inner Tubes",NA,NA,NA,"27x1.4s/v",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","122537","Wilko Heavy Duty Coil Lockand Bracket","Wilko","Bike Locks",NA,NA,NA,"180cm",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","128446","Wilko Clip On Front Mud Guard","Wilko","Mudguards",NA,NA,"1","2 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","128490","Wilko I Love My Bike Cycle Bell","Wilko","Bells and Horn",NA,NA,NA,"1 Pack",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","128513","Wilko Handlebar Grips Set of 2","Wilko","Handle Bar Accessories",NA,NA,"2pk","2 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","128517","Wilko Mountain Bike Cycle Pump","Wilko","Pumps and Adaptors",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","128523","Wilko Cycle Tyre 20 x 1.75in","Wilko","Tyres",NA,NA,NA,"20 x 1.75in",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","128525","Wilko Mountain Bike Cycle Tyre 26 x 1.75in","Wilko","Tyres",NA,NA,NA,"26X1.75",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","128526","Wilko Cycle Tyre Size 26 x 1.95in","Wilko","Tyres",NA,NA,NA,"26x1.95",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","130970","Wilko Gel Filled Saddle Cover","Wilko","Pedals and Saddles",NA,NA,"1pk",NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","194385","Wilko V- Style Brake Pads","Wilko","Brakes and Gears Accessories",NA,NA,"2pk","2 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","198903","Wilko Deluxe Cycle Puncture Repair Kit","Wilko","Puncture Repair",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","198925","Wilko Saddle Bag Black Small","Wilko","Clothing Equipment",NA,NA,"1","Small",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","198934","Wilko Trouser Bands Black 2pk","Wilko","Clothing Equipment",NA,NA,"2pk",NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","199286","Wilko Cross Country Cycle Tyre","Wilko","Tyres",NA,NA,"1pk",NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","199287","Wilko Inner Tube 700C Presta Valve","Wilko","Inner Tubes",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","226343","Wilko PVC Bicycle Cover","Wilko","Bike Stands and Cover",NA,NA,NA,"One Size",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","226345","Wilko Armoured Cable Lock 1m x 22mm","Wilko","Bike Locks",NA,NA,NA,"1m x 22mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","257873","Wilko Universal Gear Inner Wire","Wilko","Brakes and Gears Accessories",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","258252","Wilko Cycle Water Bottle Cage Black Steel","Wilko","Water Bottles and Cages",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","258261","Wilko Universal Rear Mudguard Black","Wilko","Mudguards",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","258262","Wilko Detachable Cycle Basket Black","Wilko","Cycle Baskets, Racks & Carriers",NA,NA,NA,"Large",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","258269","Wilko Pump Connector Dual Fitting","Wilko","Pumps and Adaptors",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","258276","Wilko Self Seal Repair Patches","Wilko","Puncture Repair",NA,NA,NA,"9 Pack",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","286532","Wilko Cable Lock 1.2m x 10mm","Wilko","Bike Locks","Black",NA,"1","1.2m x 10mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","286539","Wilko Cycle Multi Tool","Wilko","Tools",NA,NA,"1pk",NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","286541","Polisport Drinks Bottle 900ml","Wilko","Water Bottles and Cages",NA,NA,NA,"900ml",NA,NA,NA,NA,NA,NA,0.775
"DIY","CYC","286542","Wilko Water Bottle Cage Aluminium","Wilko","Water Bottles and Cages",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","286543","Wilko Cycle Bell Mini Flick Black","Wilko","Handle Bar Accessories",NA,NA,NA,"Universal",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","286561","Wilko Child Polyester High Visibility Vest","Wilko","Clothing Equipment",NA,NA,NA,"Child",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","286889","Wilko Bicycle Flick Bell Football Black and White","Wilko","Handle Bar Accessories",NA,NA,NA,"1 Pack",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","286890","Wilko Bicycle Flick Bell Ladybird","Wilko","Handle Bar Accessories",NA,NA,NA,"1 Pack",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","323218","Wilko 11 in 1 Multi Tool","Wilko","Tools",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","323219","Wilko Inner Tube 700C Presta Valve","Wilko","Inner Tubes",NA,NA,"1","700 x 18/20/25",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","323221","Bi-Tech Performance Track Mitts Black Small/Medium","Wilko","Clothing Equipment",NA,NA,NA,"Small/Medium",NA,NA,NA,NA,NA,NA,0.775
"DIY","CYC","323222","Bi-Tech Performance Track Mitts Black Large/Ex Large","Wilko","Clothing Equipment",NA,NA,NA,"Large, Ex Large",NA,NA,NA,NA,NA,NA,0.775
"DIY","CYC","323223","Bi-Tech Cycle Lightweight Gloves Grey Small/Medium","Wilko","Clothing Equipment",NA,NA,NA,"Small, Medium",NA,NA,NA,NA,NA,NA,0.775
"DIY","CYC","323224","Wilko Full finger Gloves Extra Large","Wilko","Clothing Equipment",NA,NA,"1","X Large",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","323225","Wilko Track Pump with Pressure Gauge Black","Wilko","Pumps and Adaptors",NA,NA,NA,"1 Pack",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","337304","Wilko Cycle Cleaning Brush Set 2pk","Wilko","Bike Cleaners",NA,NA,"2pk","2 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","337663","Wilko Pocket Dual Valve Pump","Wilko","Pumps and Adaptors",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","337768","Jetvalve C02 Cylinders 5pk","Wilko","Valve Caps",NA,NA,"5pk","5 Pack",NA,NA,NA,NA,NA,NA,0.833333333333333
"DIY","CYC","337769","Jetvalve CO2 Tyre Inflator","Wilko","Pumps and Adaptors",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.833333333333333
"DIY","CYC","342333","Wilko LED Silicon Bike Lights Front and Rear","Wilko","Lights",NA,NA,"1","2 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","342369","Wilko LED Bike Light Set Front and Rear","Wilko","Lights","Multi",NA,"2pk","L3.6 x W3.6 x H10.3cm, L7.4 x W3.4 x H4.3cm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","342372","Wilko LED Bike Light Rear High Intensity","Wilko","Lights",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","342374","Wilko LED Ultra Bright Rear Bike Light","Wilko","Lights",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","342604","Wilko Cable End Covers 4pk","Wilko","Brakes and Gears Accessories",NA,NA,"1","6 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","342623","Wilko Handle Bar Head Plugs 2pk","Wilko","Handle Bar Accessories",NA,NA,"1","2 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","342624","Wilko Schrader Valve Caps 2pk","Wilko","Valve Caps",NA,NA,"1","2 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","342626","Wilko Presta Valve Caps 2pk","Wilko","Valve Caps",NA,NA,"1","2 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","342627","Wilko Valve Repair Tool","Wilko","Tools",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","342628","Wilko Pump Adaptors Dual Function","Wilko","Pumps and Adaptors",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","342664","Wilko Skull and Crossbone Design Valve Caps","Wilko","Valve Caps",NA,NA,"1","2 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","342665","Wilko Novelty Valve Caps","Wilko","valve caps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"DIY","CYC","342667","Wilko Bike Cleaner Spray 1L","Wilko","Bike Cleaners",NA,NA,"1","1L",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","342668","Wilko Disc Brake Cleaner Spray 250ml","Wilko","Bike Cleaners",NA,NA,NA,"250ml",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","342669","Wilko Degreaser Spray Citrus Fragrance 400ml","Wilko","Bike Cleaners",NA,NA,"1","400ml",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","342670","Wilko Teflon Lubricant Spray 400ml","Wilko","Bike Cleaners",NA,NA,"1","400ml",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","343819","Wilko Bicycle Bugle Horn","Wilko","Bells and Horn",NA,NA,NA,"1 Pack",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","343822","Wilko Cycle Chain 1-3 Speed","Wilko","Chains and Oils",NA,NA,"1pk",NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","343860","Wilko Cycle Helmet Urban/BMX Black 54-58cm","Wilko","Cycle Helmets",NA,NA,NA,"54-58cm",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","343862","Wilko Bicycle Gel Grips Black","Wilko","Handle Bar Accessories",NA,NA,"1","2 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","343864","Wilko Clip On Mud Guard 26in Set of 2","Wilko","Mudguards",NA,NA,"1","2 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","343872","Wilko Toe Clips And Straps","Wilko","Clothing Equipment",NA,NA,"1","2 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","343873","Wilko Mini Cycle Pump","Wilko","Pumps and Adaptors",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","343878","Wilko Comfort Gel Saddle Black","Wilko","Pedals and Saddles",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","343879","Wilko Cruiser Gel Saddle With Coil Spring","Wilko","Pedals and Saddles",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","344045","Wilko Tyre Sealant","Wilko","Puncture Repair",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","344046","Wilko Performance Lubricant 100ml","Wilko","Chains and Oils",NA,NA,"1","100ml",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","344091","Wilko Inner Tube 12 x 1.75in Schrader valve","Wilko","Inner Tubes",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","344092","Wilko Inner Tube 16 x 1.75-2.125in Schrader Valve","Wilko","Inner Tubes",NA,NA,"1pk",NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","344093","Wilko Inner Tube 26 x 1.5-2.125in  Presta Valve","Wilko","Inner Tubes",NA,NA,"1 pk",NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","344094","Wilko Inner Tube 29 x 1.9-2.3in Presta Valve","Wilko","Inner Tubes",NA,NA,"1","29in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","344100","Wilko Inner Tube 29 x 1.9-2.3in Schrader Valve","Wilko","Inner Tubes",NA,NA,NA,"29in",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","344163","Wilko Alloy Rear  Carrier Black","Wilko","Cycle Baskets, Racks & Carriers",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","344165","Wilko Cycle Chain 9 Speed","Wilko","Chains and Oils",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","344170","Wilko Dumbell Spanner   6-15mm","Wilko","Tools",NA,NA,"1","6-15mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","344192","Wilko Cycle Helmet Adult 58-62cm","Wilko","Cycle Helmets",NA,NA,NA,"58-62cm",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","344193","Wilko Cycle Helmet Youth 54-58cm","Wilko","Cycle Helmets",NA,NA,NA,"54-58cm",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","344401","Wilko Handlebar Tape Black","Wilko","Handle Bar Accessories",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","344404","Wilko Cycle Helmet Junior Pink 48-52cm","Wilko","Cycle Helmets",NA,NA,NA,"48-52cm",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","344405","Wilko Cycle Helmet Junior Flame 48-52cm","Wilko","Cycle Helmets",NA,NA,NA,"48-52cm",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","344431","Wilko Pedal Resin Adult 9/16in","Wilko","Pedals and Saddles",NA,NA,"1","9-16in",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","344432","Wilko Pedal Alloy Adult 9/16in","Wilko","Pedals and Saddles",NA,NA,"1","2 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","344435","Wilko Rack Top Bag","Wilko","Bags, Rucksacks and Satchels",NA,NA,NA,"1 Pack",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","345583","Sam Browne  Reflective Belt and Sash Large","Wilko","Reflective Straps and Tape",NA,NA,"1","Large",NA,NA,NA,NA,NA,NA,0.833333333333333
"DIY","CYC","345585","Wilko Reflective Tape Yellow 25mm x 2m","Wilko","Clothing Equipment",NA,NA,NA,"1 Pack",NA,NA,NA,NA,NA,NA,0.825
"DIY","CYC","345587","Wilko Reflective Stickersheet 8pk","Wilko","Clothing Equipment",NA,NA,"1","8 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","345597","Wilko Reflective Trouserbands","Wilko","Clothing Equipment",NA,NA,"1","2 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","CYC","345641","Water Bottle and Alloy  Cage Set","Wilko","Water Bottles and Cages",NA,NA,NA,"2 Pack",NA,NA,NA,NA,NA,NA,0.775
"DIY","CYC","431263","Wilko LED Front Bike Light","Wilko","Bike Light","Black",NA,"1","Incl. mounting bracket 3.6 x 9.8 x 8 cm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","431264","Wilko LED Helmet Light","Wilko","Helmet Light","Black",NA,"1","Incl. hook and loop fastener 5.7 x 4 x 3.2 cm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","431265","Wilko LED Rechargable USB Bike Lights Set","Wilko","USB Bike Lights","Black",NA,"2pk","Incl. silicone ladder fastener 3.7 x 12.5 x 2 cm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","431576","Wilko Universal Complete Brake Cable","Wilko","Brake Cable","Black",NA,"1","48-54cm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","431577","Wilko Reflective Spoke Sticks 10pk","Wilko","Spoke Sticks","Yellow",NA,"10","48-54cm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","431578","Wilko Shackle Lock 320 x 165mm","Wilko","Bike Lock","Black",NA,"1","12 x 165 x 320mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","431579","Wilko 5 Digit Combination Cable Lock 180cm x 10mm","Wilko","Bike Lock","Black",NA,"1","180cm x 10mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","431580","Wilko Puncture Protection Tyre 26 x 1.90in","Wilko","Bike Tyre","Black",NA,"1","26 x 1.90in",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","21941","Wilko Puncture Repair Kit","Wilko Functional","Puncture Repair",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.833333333333333
"DIY","DOO","276780","Wilko Window Handle UVPC White","Sterling","Window Handles",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.775
"DIY","DOO","4477046","Wilko Security Door Chain Chrome Effect","Sterling","Door Chain",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.783333333333333
"DIY","DOO","324582","Stoppy Ultimate Door and Window Stopper Assorted","Stoppy","Door Stops",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","DOO","10360","Wilko Roller Catch Double Zinc Plated","Wilko","Door Catches",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.93
"DIY","DOO","154206","Wilko Mortice Latch 75mm","Wilko","Mortice Latch and Locks",NA,NA,NA,"6x7.5cm",NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","154209","Wilko Security Door Chain Brass Effect","Wilko","Door Chain",NA,NA,"1","1 Pack",NA,"Steel",NA,NA,NA,NA,0.941666666666667
"DIY","DOO","154214","Wilko Dead Lock Mortice 3 Lever 65mm","Wilko","Door Locks",NA,NA,NA,"65mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","159371","Wilko Door Wedge White PVC","Wilko","Door Stops",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","DOO","159406","Wilko Backflap Hinge 25mm 2pk","Wilko","Door Hinges",NA,NA,"2pk","25mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","159419","Wilko Cabinet Hinge Concealed Sprung 35mm","Wilko","Door Hinges",NA,NA,NA,"35mm",NA,NA,NA,NA,NA,NA,0.86
"DIY","DOO","159496","Wilko Hinge Butt Brass 25mm","Wilko","Door Hinges",NA,NA,"2pk","25mm",NA,NA,NA,NA,NA,NA,0.93
"DIY","DOO","159500","Wilko Door Bolt Aluminium 50mm","Wilko","Door Bolts",NA,NA,"1","50mm",NA,"Aluminium",NA,NA,NA,NA,0.941666666666667
"DIY","DOO","159501","Wilko Door Bolt Straight Aluminium 75mm","Wilko","Door Bolts",NA,NA,"1","75mm",NA,"Aluminium",NA,NA,NA,NA,0.941666666666667
"DIY","DOO","159502","Wilko Bolt Door Brass 38mm","Wilko","Door Bolts",NA,NA,NA,"38mm",NA,"Brass",NA,NA,NA,NA,0.883333333333333
"DIY","DOO","159503","Wilko Bolt Door Brass 50mm","Wilko","Door Bolts",NA,NA,NA,"50mm",NA,"Brass",NA,NA,NA,NA,0.883333333333333
"DIY","DOO","159504","Wilko Door Bolt Straight Brass 75mm","Wilko","Door Bolts",NA,NA,NA,"75mm",NA,"Brass",NA,NA,NA,NA,0.883333333333333
"DIY","DOO","159505","Wilko Door Bolt Necked Brass 75mm","Wilko","Door Bolts",NA,NA,NA,"75mm",NA,"Brass",NA,NA,NA,NA,0.883333333333333
"DIY","DOO","159506","Wilko Door Bolt Straight Brass 100mm","Wilko","Door Bolts",NA,NA,"1","100mm",NA,"Brass",NA,NA,NA,NA,0.941666666666667
"DIY","DOO","159508","Wilko Door Bolt Chrome Effect 38mm","Wilko","Door Bolts",NA,NA,NA,"38mm",NA,"Aluminium",NA,NA,NA,NA,0.883333333333333
"DIY","DOO","159509","Wilko Door Bolt Straight Chrome Plated Effect 50mm","Wilko","Door Bolts",NA,NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","159510","Wilko Door Bolt Straight Chrome Plated Effect 75mm","Wilko","Door Bolts",NA,NA,NA,"75mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","161280","Wilko Hinge Easy On Sprung Zinc Plated 104 x 42mm","Wilko","Door Hinges",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.93
"DIY","DOO","1862","Wilko Night Latch Standard Width Door","Wilko","Door Locks",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","1863","Wilko Night Latch Narrow Width Door","Wilko","Door Locks",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","1864","Wilko Replacement Cylinder","Wilko","Door Locks",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","188002","Wilko Deadlocking Night Latch Standard Style","Wilko","Door Locks",NA,NA,NA,"Standard",NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","188003","Wilko Deadlocking Night Latch Narrow Style","Wilko","Door Locks",NA,NA,NA,"Narrow",NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","190343","Wilko Kiddy Catch Small Plastic","Wilko","Door Catches",NA,NA,NA,"Small",NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","190460","Wilko Cabin Hook Polished Brass 100mm","Wilko","Cabin Hooks",NA,NA,NA,"100mm",NA,"Brass",NA,NA,NA,NA,0.883333333333333
"DIY","DOO","261102","Wilko Door Wedge Rubber Grey","Wilko","Door Stops",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.93
"DIY","DOO","26442","Wilko Door Security Bolts 2pk","Wilko","Door Bolts",NA,NA,"2pk","2 Pack",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","26443","Wilko Security Bolt Keys 2pk","Wilko","Door Locks",NA,NA,"2pk","3x8cm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","276776","Sterling Rim Sashlock And Knobs Set Black","Wilko","Door Locks",NA,NA,NA,"152x101mm, 6x4in",NA,NA,NA,NA,NA,NA,0.775
"DIY","DOO","279892","Wilko Round Door Stop  Aluminium Finish","Wilko","Door Stops",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.93
"DIY","DOO","307153","Wilko Mortice Latch Nickel Plated 63mm","Wilko","Mortice Latch and Locks",NA,NA,NA,"63mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","307154","Wilko Mortice Latch Nickel Plated 75mm","Wilko","Mortice Latch and Locks",NA,NA,NA,"75mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","343219","Wilko Flat Dimpled Handle Chrome 120mm","Wilko","Cupboard Handles","Metal",NA,NA,"96mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","343220","Wilko Dimple Handle Satin Effect 120mm","Wilko","Cupboard Handles","Red",NA,NA,"96mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","343223","Wilko Snail Shaped Door Wedge","Wilko","Door Stops",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","DOO","343224","Wilko Stop Shaped Door Wedge","Wilko","Door Stops",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","DOO","343225","Cheese Shaped Door Wedge","Wilko","Door Stops",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.81
"DIY","DOO","343318","Wilko T Bar Style Handle Chrome 190mm","Wilko","Cupboard Handles","Metal",NA,NA,"190mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","343319","Wilko T Bar Style Handle Chrome 233mm","Wilko","Cupboard Handles","Metal",NA,"1","233mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","DOO","343341","Wilko Cylinder Lock Nickel 45 x 55mm","Wilko","Euro Cyclinder","Metal",NA,NA,"45x55mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","343342","Wilko Cylinder  Lock Nickel 40 x 50mm","Wilko","Euro Cyclinder","Metal",NA,"1","40x50mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","DOO","343343","Wilko Cylinder Lock  Nickel 45 x 45mm","Wilko","Euro Cyclinder","Metal",NA,"1","45x55mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","DOO","343344","Wilko Cylinder Lock  Nickel 35 x 45mm","Wilko","Euro Cyclinder","Metal",NA,"1","35x45mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","DOO","343458","Wilko T Bar Style Handle Chrome 150mm","Wilko","Cupboard Handles","Metal",NA,NA,"96mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","343504","Wilko T Bar Handle Satin 233mm","Wilko","Cupboard Handles","Metal",NA,NA,"160mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","343505","Wilko T Bar Handle satin 190mm","Wilko","Cupboard Handles",NA,NA,"1","158mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","343506","Wilko T Bar Style Handle Satin 150mm","Wilko","Cupboard Handles",NA,NA,NA,"96mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","343510","Wilko Dimpled Knob Satin 28mm","Wilko","Cupboard Knobs","Red",NA,NA,"28mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","343511","Wilko Pumpkin Style Knob 30mm","Wilko","Cupboard Knobs",NA,NA,"1","30mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","343512","Wilko Pumpkin Style Knob 40mm","Wilko","Cupboard Knobs",NA,NA,NA,"40mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","343513","Wilko Round Knob Bright Chrome 25mm","Wilko","Cupboard Knobs",NA,NA,"1","25mm",NA,"Zinc",NA,NA,NA,NA,0.941666666666667
"DIY","DOO","343514","Wilko Round Knob  Ceramic Cracked 40mm","Wilko","Cupboard Knobs",NA,NA,"1","40mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","343515","Wilko Round Antique Brass Effect Metal Knob 25mm","Wilko","Cupboard Knobs","Wood",NA,NA,"25mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","343516","Wilko Round Knob Glass Crystal 30mm","Wilko","Cupboard Knobs",NA,NA,NA,"30mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","343517","Wilko Round Knob Glass Crystal 40mm","Wilko","Cupboard Knobs",NA,NA,NA,"40mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","343519","Wilko Patio Door Bolt - Satin Chrome","Wilko","Patio Door Bolts",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.93
"DIY","DOO","343520","Wilko Patio Door Bolt   White","Wilko","Patio Door Bolts",NA,NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.93
